,Player1,Player2,SimScore
125,Kevin Durant,Paul George,80.4292100667
6,Andrew Wiggins,Kevin Durant,76.5135700703
63,Giannis Antetokounmpo,Rudy Gay,76.0242878199
46,DeMarcus Cousins,Paul Millsap,74.658082962
71,Gordon Hayward,Khris Middleton,73.705569923
135,Khris Middleton,Kevin Durant,72.941041112
13,Andrew Wiggins,Paul George,72.4778016805
253,Paul Millsap,Nikola Vucevic,72.1834863426
141,Khris Middleton,Paul George,71.7885315419
128,Khris Middleton,Andrew Wiggins,71.647071004
181,Kyle Lowry,Jimmy Butler,71.526250124
171,Kobe Bryant,LeBron James,69.7366442681
180,Kyle Lowry,Gordon Hayward,69.6789858342
111,Kawhi Leonard,Rudy Gay,69.6005293131
44,DeMarcus Cousins,Nikola Vucevic,68.773227811
168,Kobe Bryant,Khris Middleton,68.2127079964
173,Kobe Bryant,Paul George,68.1267960071
123,Kevin Durant,LeBron James,67.230940938
9,Andrew Wiggins,Kobe Bryant,67.0711156129
228,Paul George,Gordon Hayward,66.840340078
166,Kobe Bryant,Kawhi Leonard,66.7868254184
103,Kawhi Leonard,Khris Middleton,66.7327795029
121,Kevin Durant,Kobe Bryant,66.4363857506
5,Andrew Wiggins,Kawhi Leonard,66.3270691633
93,Jimmy Butler,Paul George,65.5226370691
25,Carmelo Anthony,Kobe Bryant,65.2440747023
100,Kawhi Leonard,Gordon Hayward,65.0864714981
84,Jimmy Butler,Gordon Hayward,63.6672830582
27,Carmelo Anthony,LeBron James,63.0173288585
11,Andrew Wiggins,LeBron James,62.4179490805
164,Kobe Bryant,Gordon Hayward,61.4940459133
195,LeBron James,Giannis Antetokounmpo,61.4381210804
189,Kyle Lowry,Paul George,60.931927383
184,Kyle Lowry,Khris Middleton,60.5351580979
127,Kevin Durant,Rudy Gay,59.8350086212
47,DeMarcus Cousins,Rudy Gay,59.7420791387
165,Kobe Bryant,Jimmy Butler,59.7131418585
91,Jimmy Butler,LeBron James,59.1319677232
236,Paul George,LeBron James,59.1078898906
80,Jimmy Butler,Andrew Wiggins,58.8425758481
207,LeBron James,Rudy Gay,58.4004098177
53,Giannis Antetokounmpo,Kawhi Leonard,57.7691371442
117,Kevin Durant,Jimmy Butler,57.6683269143
255,Paul Millsap,Rudy Gay,57.1139618159
3,Andrew Wiggins,Gordon Hayward,55.9070385099
49,Giannis Antetokounmpo,Carmelo Anthony,55.3680912256
115,Kevin Durant,Giannis Antetokounmpo,55.182379365
21,Carmelo Anthony,Kawhi Leonard,55.0725089313
133,Khris Middleton,Jimmy Butler,54.8454269767
34,DeMarcus Cousins,Giannis Antetokounmpo,54.3911499977
102,Kawhi Leonard,Kevin Durant,54.2101193666
170,Kobe Bryant,Kyle Lowry,54.0678729415
15,Andrew Wiggins,Rudy Gay,53.72819829
70,Gordon Hayward,Kevin Durant,53.6926692129
131,Khris Middleton,Giannis Antetokounmpo,53.6232590676
257,Rudy Gay,Carmelo Anthony,53.4113602638
230,Paul George,Kawhi Leonard,53.2792303562
175,Kobe Bryant,Rudy Gay,52.361174941
101,Kawhi Leonard,Jimmy Butler,52.0453652739
22,Carmelo Anthony,Kevin Durant,51.8120508193
264,Rudy Gay,Khris Middleton,51.2857478857
243,Paul Millsap,Giannis Antetokounmpo,51.2534725665
52,Giannis Antetokounmpo,Jimmy Butler,51.0284273029
107,Kawhi Leonard,LeBron James,50.3170182705
139,Khris Middleton,LeBron James,50.1920218468
0,Andrew Wiggins,Carmelo Anthony,48.1953203678
79,Gordon Hayward,Rudy Gay,48.0729799867
163,Kobe Bryant,Giannis Antetokounmpo,47.8095669746
48,Giannis Antetokounmpo,Andrew Wiggins,47.2019895316
157,Klay Thompson,Paul George,46.9930981993
106,Kawhi Leonard,Kyle Lowry,46.9102975727
33,DeMarcus Cousins,Carmelo Anthony,46.6053403617
183,Kyle Lowry,Kevin Durant,46.5355170369
227,Paul George,Giannis Antetokounmpo,46.3451507093
225,Paul George,Carmelo Anthony,44.9069410563
75,Gordon Hayward,LeBron James,44.4130708575
176,Kyle Lowry,Andrew Wiggins,44.2375670076
23,Carmelo Anthony,Khris Middleton,43.7698506118
136,Khris Middleton,Klay Thompson,43.633265674
37,DeMarcus Cousins,Kawhi Leonard,43.5561890602
270,Rudy Gay,Paul George,43.2530390025
95,Jimmy Butler,Rudy Gay,42.7518559098
159,Klay Thompson,Rudy Gay,41.3299360872
67,Gordon Hayward,Giannis Antetokounmpo,41.0369083287
187,Kyle Lowry,LeBron James,40.60133785
151,Klay Thompson,Kevin Durant,40.1326070427
246,Paul Millsap,Kawhi Leonard,39.9444305898
147,Klay Thompson,Giannis Antetokounmpo,39.697447002
20,Carmelo Anthony,Jimmy Butler,38.9911780953
8,Andrew Wiggins,Klay Thompson,38.4937580227
179,Kyle Lowry,Giannis Antetokounmpo,36.0581373573
104,Kawhi Leonard,Klay Thompson,36.0538262725
43,DeMarcus Cousins,LeBron James,35.7181677818
60,Giannis Antetokounmpo,Nikola Vucevic,35.2481182815
72,Gordon Hayward,Klay Thompson,35.1740136146
269,Rudy Gay,Nikola Vucevic,34.5707874299
191,Kyle Lowry,Rudy Gay,32.8764861226
32,DeMarcus Cousins,Andrew Wiggins,32.5780774354
39,DeMarcus Cousins,Khris Middleton,31.0989878177
114,Kevin Durant,DeMarcus Cousins,31.0425494909
28,Carmelo Anthony,Nikola Vucevic,30.1146874429
65,Gordon Hayward,Carmelo Anthony,29.5349002482
88,Jimmy Butler,Klay Thompson,29.3093795775
241,Paul Millsap,Carmelo Anthony,28.4580432177
162,Kobe Bryant,DeMarcus Cousins,27.6198141574
154,Klay Thompson,Kyle Lowry,27.4583303928
177,Kyle Lowry,Carmelo Anthony,27.0978668333
240,Paul Millsap,Andrew Wiggins,25.3547018766
252,Paul Millsap,LeBron James,24.9163923263
153,Klay Thompson,Kobe Bryant,22.2659832834
126,Kevin Durant,Paul Millsap,22.0975328684
249,Paul Millsap,Klay Thompson,20.9984003901
248,Paul Millsap,Khris Middleton,20.0731716156
66,Gordon Hayward,DeMarcus Cousins,18.3896397948
36,DeMarcus Cousins,Jimmy Butler,18.3418149351
45,DeMarcus Cousins,Paul George,18.1204800606
250,Paul Millsap,Kobe Bryant,18.0306577682
94,Jimmy Butler,Paul Millsap,16.6265990137
40,DeMarcus Cousins,Klay Thompson,16.367117822
108,Kawhi Leonard,Nikola Vucevic,16.3229166271
204,LeBron James,Nikola Vucevic,16.2992762328
78,Gordon Hayward,Paul Millsap,15.1534802318
155,Klay Thompson,LeBron James,14.4076082109
208,Nikola Vucevic,Andrew Wiggins,13.7347862721
178,Kyle Lowry,DeMarcus Cousins,13.5338661074
24,Carmelo Anthony,Klay Thompson,12.7584186196
215,Nikola Vucevic,Kevin Durant,10.4776172639
172,Kobe Bryant,Nikola Vucevic,6.41074216367
238,Paul George,Paul Millsap,6.31506371496
92,Jimmy Butler,Nikola Vucevic,5.00668340923
190,Kyle Lowry,Paul Millsap,4.41113084551
217,Nikola Vucevic,Klay Thompson,3.52794557808
140,Khris Middleton,Nikola Vucevic,3.30561769026
237,Paul George,Nikola Vucevic,-4.50169217577
212,Nikola Vucevic,Gordon Hayward,-8.46803373093
219,Nikola Vucevic,Kyle Lowry,-11.006825149
