,Anthony Davis,Ryan Anderson,Dante Cunningham,Jrue Holiday,Alonzo Gee,Eric Gordon,Toney Douglas,Norris Cole,Omer Asik,Alexis Ajinca,PASS_FROM
0,,0.029,0.037,0.274,0.036,0.1,0.064,0.153,0.022,0.006,Anthony Davis
1,0.055,,0.025,0.263,0.032,0.085,0.108,0.131,0.003,0.01,Ryan Anderson
2,0.059,0.051,,0.193,0.008,0.039,0.181,0.134,0.03,0.024,Dante Cunningham
3,0.223,0.166,0.068,,0.05,0.087,0.087,0.106,0.036,0.038,Jrue Holiday
4,0.095,0.084,0.022,0.207,,0.061,0.092,0.102,0.035,0.02,Alonzo Gee
5,0.211,0.141,0.037,0.118,0.04,,0.026,0.077,0.048,0.024,Eric Gordon
6,0.099,0.098,0.083,0.177,0.042,0.02,,0.015,0.061,0.085,Toney Douglas
7,0.237,0.131,0.047,0.219,0.036,0.063,0.015,,0.058,0.036,Norris Cole
8,0.037,0.006,0.042,0.182,0.03,0.058,0.139,0.196,,0.004,Omer Asik
9,0.012,0.017,0.047,0.183,0.026,0.053,0.171,0.124,0.013,,Alexis Ajinca
